Simulation Results for Regression Slope Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,b,,,,,,,,,b,,,,,,,,,b,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
LTS,2,0,0,0.001,0.457,1.989,2.011,1,LTS,2.016,0,0.016,0.001,0.594,2.006,2.026,1,LTS,6.70E+06,4.00E+06,6.70E+06,2.40E+18,0,-5.70E+08,5.80E+08,1,LTS,1.50E+11,8.80E+10,1.50E+11,1.20E+27,0,-1.30E+13,1.30E+13,1
OLSE,2,0,0,0.002,1,1.983,2.017,1,Bayesian,2.01,0,0.01,0.002,0.988,1.995,2.025,1,Bayesian,1.20E+15,8.30E+14,1.20E+15,1.00E+35,0.999,-1.20E+17,1.20E+17,1,Bayesian,2.60E+19,1.80E+19,2.60E+19,5.00E+43,0.999,-2.60E+21,2.70E+21,1
Bayesian,1.999,0,-0.001,0.002,1,1.982,2.016,1,OLSE,2.011,0,0.011,0.002,1,1.996,2.026,1,OLSE,1.20E+15,8.30E+14,1.20E+15,1.00E+35,1,-1.20E+17,1.20E+17,1,OLSE,2.60E+19,1.80E+19,2.60E+19,5.00E+43,1,-2.60E+21,2.70E+21,1
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
Theils,2,0,0,0.002,0,1.984,2.016,1,Theils,2,0,0,0.002,0,1.984,2.016,1,Theils,2,0,0,0.002,0,1.984,2.016,1,Theils,2,0,0,0.002,0,1.984,2.016,1
LTS,2,0,0,0.011,0,1.961,2.04,1,LTS,2,0,0,0.011,0,1.961,2.04,1,LTS,2,0,0,0.011,0,1.961,2.04,1,LTS,2,0,0,0.011,0,1.961,2.04,1
Bayesian,2.154,0.144,0.154,3.10E+03,0.999,-18.611,22.918,1,Bayesian,2.154,0.144,0.154,3.10E+03,0.999,-18.611,22.918,1,Bayesian,2.154,0.144,0.154,3.10E+03,0.999,-18.611,22.918,1,Bayesian,2.154,0.144,0.154,3.10E+03,0.999,-18.611,22.918,1
OLSE,2.155,0.144,0.155,3.10E+03,1,-18.619,22.928,1,OLSE,2.155,0.144,0.155,3.10E+03,1,-18.619,22.928,1,OLSE,2.155,0.144,0.155,3.10E+03,1,-18.619,22.928,1,OLSE,2.155,0.144,0.155,3.10E+03,1,-18.619,22.928,1
n = 50,STANDARD MODEL,,,,,,,,n = 50,CONTAMINATIONS MODEL,,,,,,,,n = 50,OUTLIERS MODEL,,,,,,,,n = 50,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,2,0,0,0,1,1.997,2.003,1,Theils,2.032,0,0.032,0.001,0.708,2.029,2.035,1,Theils,2,0,0,0,0.129,1.994,2.006,1,Theils,2.046,0,0.046,0.003,0.063,2.039,2.052,1
Bayesian,2,0,0,0,1,1.997,2.003,1,LTS,2.034,0,0.034,0.001,0.786,2.031,2.037,1,LTS,2,0,0,0.001,0.198,1.992,2.008,1,LTS,2.085,0,0.085,0.01,0.233,2.071,2.099,1
Theils,2,0,0,0,1.07,1.997,2.003,1,Bayesian,2.038,0,0.038,0.002,0.991,2.035,2.041,1,OLSE,2,0,0,0.004,1,1.983,2.018,1,Bayesian,2.192,0,0.192,0.041,0.998,2.174,2.21,1
