Simulation Results for Regression Intercept Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,a,,,,,,,,,a,,,,,,,,,a,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Bayesian,3.853,0.001,-1.147,1.453,10.4,3.714,3.991,1,Bayesian,3.247,0.001,-1.753,3.225,6.373,3.101,3.393,1,Bayesian,3.853,0.003,-1.147,3.039,1.8,3.363,4.344,0.986,Bayesian,0.825,0.003,-4.175,19.151,1.8,0.335,1.316,0.999
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.449,0.002,0.449,0.838,0.2,5.151,5.747,0.98,Bayesian,5.342,0.002,0.342,0.71,0.237,5.054,5.629,0.984,Theils,6.506,0.003,1.506,3.577,0,6.079,6.933,0.997,Theils,5.297,0.003,0.297,1.883,0,4.797,5.798,1
LTS,6.158,0.001,1.158,1.631,0.5,5.956,6.359,0.983,LTS,6.004,0.001,1.004,1.261,0.422,5.816,6.192,0.991,LTS,-6.00E+07,3.60E+07,-6.10E+07,1.90E+20,0,-5.20E+09,5.10E+09,0.986,LTS,-1.30E+12,7.90E+11,-1.30E+12,9.30E+28,0,-1.20E+14,1.10E+14,0.977
OLSE,6.649,0.002,1.649,3.367,1,6.349,6.95,0.865,OLSE,6.545,0.002,1.545,2.991,1,6.254,6.835,0.896,OLSE,-9.00E+15,6.30E+15,-9.00E+15,6.00E+36,1,-9.20E+17,9.10E+17,0.113,OLSE,-2.00E+20,1.40E+20,-2.00E+20,2.90E+45,1,-2.00E+22,2.00E+22,0.001
Theils,6.645,0.003,1.645,3.82,1.1,6.252,7.039,1,Theils,6.41,0.003,1.41,3.079,1.029,6.019,6.8,1,Bayesian,-9.30E+15,6.50E+15,-9.30E+15,6.40E+36,1.1,-9.50E+17,9.40E+17,0.116,Bayesian,-2.10E+20,1.40E+20,-2.10E+20,3.10E+45,1.1,-2.10E+22,2.10E+22,0.001
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,4.997,0.005,-0.003,3.228,0,4.326,5.668,0.986,LTS,4.997,0.005,-0.003,3.228,0,4.326,5.668,0.986,LTS,4.997,0.005,-0.003,3.228,0,4.326,5.668,0.986,LTS,4.997,0.005,-0.003,3.228,0,4.326,5.668,0.986
Theils,4.997,0.005,-0.003,4.498,0,4.205,5.789,0.992,Theils,4.997,0.005,-0.003,4.498,0,4.205,5.789,0.992,Theils,4.997,0.005,-0.003,4.498,0,4.205,5.789,0.992,Theils,4.997,0.005,-0.003,4.498,0,4.205,5.789,0.992
Bayesian,-1.335,4.087,-6.335,2.50E+06,1,-592.367,589.697,0.794,Bayesian,-1.335,4.087,-6.335,2.50E+06,0.966,-592.367,589.697,0.794,Bayesian,-1.335,4.087,-6.335,2.50E+06,1,-592.367,589.697,0.794,Bayesian,-1.335,4.087,-6.335,2.50E+06,1,-592.367,589.697,0.794
OLSE,-0.281,4.159,-5.281,2.60E+06,1,-601.767,601.204,0.745,OLSE,-0.281,4.159,-5.281,2.60E+06,1,-601.767,601.204,0.745,OLSE,-0.281,4.159,-5.281,2.60E+06,1,-601.767,601.204,0.745,OLSE,-0.281,4.159,-5.281,2.60E+06,1,-601.767,601.204,0.745
n = 50,STANDARD MODEL,,,,,,,,n = 50,CONTAMINATIONS MODEL,,,,,,,,n = 50,OUTLIERS MODEL,,,,,,,,n = 50,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5,0.001,0,0.082,1,4.919,5.082,1,LTS,4.492,0.001,-0.508,0.366,0.857,4.399,4.586,1,LTS,5,0.001,0,0.235,0.2,4.862,5.138,0.999,LTS,3.783,0.002,-1.217,2.014,0.2,3.575,3.99,1
LTS,5,0.001,0,0.112,1.4,4.904,5.095,1,OLSE,4.421,0.001,-0.579,0.427,1,4.335,4.507,1,Theils,4.998,0.002,-0.002,0.732,0.8,4.754,5.241,1,Theils,3.837,0.002,-1.163,2.085,0.2,3.594,4.08,1
Theils,5,0.002,0,0.514,6.2,4.797,5.204,1,Theils,4.178,0.002,-0.822,1.182,2.77,3.976,4.381,1,OLSE,4.998,0.003,-0.002,0.958,1,4.72,5.276,0.939,OLSE,2.1,0.003,-2.9,9.366,1,1.822,2.378,1
Bayesian,3.907,0.001,-1.093,1.276,15.5,3.826,3.988,1,Bayesian,3.32,0.001,-1.68,2.913,6.825,3.234,3.406,1,Bayesian,3.905,0.003,-1.095,2.178,2.3,3.624,4.186,0.994,Bayesian,0.968,0.003,-4.032,17.233,1.8,0.687,1.25,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.524,0.002,0.524,0.664,0.2,5.347,5.702,0.966,Bayesian,5.422,0.002,0.422,0.541,0.196,5.251,5.593,0.975,Theils,6.565,0.003,1.565,3.614,0,6.258,6.872,0.999,Theils,5.415,0.003,0.415,1.603,0,5.075,5.755,1
LTS,6.146,0.001,1.146,1.494,0.5,6.026,6.267,0.953,LTS,6,0.001,1,1.151,0.416,5.889,6.11,0.978,LTS,-5.10E+07,1.70E+07,-5.10E+07,4.40E+19,0,-1.90E+09,1.80E+09,0.989,LTS,-1.10E+12,3.80E+11,-1.10E+12,2.10E+28,0,-4.30E+13,4.00E+13,0.983
OLSE,6.65,0.002,1.65,3.115,1,6.472,6.828,0.652,OLSE,6.549,0.002,1.549,2.767,1,6.376,6.721,0.727,OLSE,-2.50E+14,1.30E+14,-2.50E+14,2.60E+33,1,-1.50E+16,1.40E+16,0.031,OLSE,-5.50E+18,2.90E+18,-5.50E+18,1.30E+42,1,-3.20E+20,3.10E+20,0
Theils,6.65,0.003,1.65,3.806,1.2,6.354,6.946,1,Theils,6.422,0.003,1.422,3.095,1.119,6.128,6.717,1,Bayesian,-2.50E+14,1.30E+14,-2.50E+14,2.60E+33,1,-1.50E+16,1.40E+16,0.032,Bayesian,-5.50E+18,2.90E+18,-5.50E+18,1.30E+42,1,-3.30E+20,3.20E+20,0
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,4.996,0.004,-0.004,1.925,0,4.602,5.39,0.982,LTS,4.996,0.004,-0.004,1.925,0,4.602,5.39,0.982,LTS,4.996,0.004,-0.004,1.925,0,4.602,5.39,0.982,LTS,4.996,0.004,-0.004,1.925,0,4.602,5.39,0.982
Theils,4.99,0.006,-0.01,4.883,0,4.362,5.618,0.998,Theils,4.99,0.006,-0.01,4.883,0,4.362,5.618,0.998,Theils,4.99,0.006,-0.01,4.883,0,4.362,5.618,0.998,Theils,4.99,0.006,-0.01,4.883,0,4.362,5.618,0.998
Bayesian,0.19,3.131,-4.81,1.50E+06,0.9,-344.481,344.861,0.76,Bayesian,0.19,3.131,-4.81,1.50E+06,0.918,-344.481,344.861,0.76,Bayesian,0.19,3.131,-4.81,1.50E+06,0.9,-344.481,344.861,0.76,Bayesian,0.19,3.131,-4.81,1.50E+06,0.9,-344.481,344.861,0.76
OLSE,1.15,3.269,-3.85,1.60E+06,1,-358.682,360.982,0.694,OLSE,1.15,3.269,-3.85,1.60E+06,1,-358.682,360.982,0.694,OLSE,1.15,3.269,-3.85,1.60E+06,1,-358.682,360.982,0.694,OLSE,1.15,3.269,-3.85,1.60E+06,1,-358.682,360.982,0.694
n = 100,STANDARD MODEL,,,,,,,,n = 100,CONTAMINATIONS MODEL,,,,,,,,n = 100,OUTLIERS MODEL,,,,,,,,n = 100,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5.001,0.001,0.001,0.041,1,4.961,5.041,1,Bayesian,3.379,0.001,-1.621,2.674,7.249,3.337,3.421,1,LTS,5,0.001,0,0.111,0.2,4.934,5.067,1,LTS,3.818,0.001,-1.182,1.652,0.2,3.718,3.918,1
LTS,5,0.001,0,0.055,1.4,4.954,5.047,1,Theils,4.187,0.002,-0.813,1.139,3.09,4.05,4.324,1,OLSE,5.001,0.002,0.001,0.469,1,4.865,5.137,0.961,Theils,3.86,0.002,-1.14,1.886,0.2,3.708,4.012,1
