Table S4:Empirical Data on GDP (Current) and Population (Total) for the Year 2018 and 2024 (20% contaminated).,
GDP(US$) 2024,POPULATION 2024
24.55954424,16.68561169
25.5435474,16.25153836
0,10.6982658
45.10621844,17.44941157
23.97964072,14.92522796
1,16.62698184
-4.408603447,16.17350292
24.11149861,14.96742788
24.4824702,17.20500826
26.31797722,17.66169946
26.3965891,16.84044099
25.45065366,15.67825988
31.29201537,22.50478869
28.04313077,20.82397215
21.54382046,14.66456003
30.39103106,21.9908551
24.50025356,14.43937465
25.79843965,15.40418724
45.10621844,18.05288709
22.66504278,15.97214726
0,15.07839471
25.67202573,15.50598822
30.73560779,21.48459595
0,12.03247493
23.55363291,14.4167398
23.42716489,14.0352724
0,11.21799049
25.51075758,17.84856368
23.941004,13.25136854
23.79051118,16.48708521
25.22416121,15.70052917
0,10.43346854
26.42370941,15.54182656
25.22689701,15.32823072
-4.408603447,20.97871778
26.76113676,17.78365609
0,12.03039696
27.02771464,15.61339473
28.41492266,20.4172864
23.69464495,16.82608829
29.70293439,21.86141318
24.18274559,16.1741454
24.02082083,14.68140401
31.34215118,22.32857957
25.25569123,15.16778293
29.45071995,20.20265691
45.10621844,19.64478256
1,11.5557742
26.73207902,15.83362189
24.98541298,18.50938978
23.62470616,14.69194008
22.5096988,13.74163256
21.84898508,16.45797543
-4.408603447,11.51907651
25.33838635,17.45008825
18.90673377,9.388319179
25.55954774,14.97969084
-4.408603447,13.36048539
28.69227762,21.38945312
26.26844328,16.15780999
28.78159314,18.04309809
45.10621844,9.174402265
53.07892789,21.75926227
25.13373549,17.35436375
21.51518215,11.44863225
28.19633492,17.11861036
22.14689113,13.97142226
-4.408603447,18.08755507
31.0322185,21.56854524
24.57574549,14.27840838
22.83590236,13.34314574
22.304075,14.03289596
45.10621844,18.26424518
29.54499822,20.28786264
3.564106009,12.09929446
1,17.40903098
31.09675702,21.59385582
0,16.21156632
31.41065493,22.65858035
23.47819874,15.66127862
-4.408603447,20.97871778
22.86907072,12.58669846
-4.408603447,20.87070592
25.1836872,15.32304375
27.00553258,16.03231802
24.21393995,16.73338858
45.10621844,15.82967984
3.564106009,21.24050159
25.02825415,17.81371295
26.77535501,15.60342816
3.564106009,17.97450595
21.08859722,13.67236625
29.1764537,18.2405559
45.10621844,16.21216879
27.23203497,16.28856483
26.57259062,16.20473462
20.8851719,12.29234208
28.41947848,20.42444316
1,17.51886388
26.64215969,19.34203529
24.51781342,15.75124829
23.58422364,15.79262434
24.69914015,17.18706438
28.2515976,18.68964631
-4.408603447,17.0212104
1,18.43050916
27.8461325,20.46096673
25.19047402,17.27918906
23.14951984,16.89076019
23.52680397,15.86575756
22.67793866,13.1764727
23.9510679,16.28128179
24.25518218,15.12372391
3.564106009,14.5704116
24.70018273,16.26244505
1,
25.05349728,16.02736427
0,9.781093904
24.48749438,14.13202933
24.22747643,12.86490526
24.33670936,16.19743386
